Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
24.149.0.6,2021-08-06,839335,2874,158,250,349,365,386,1366
24.151.8.210,2021-08-06,839335,15036,1272,295,633,904,1736,10196
24.151.8.211,2021-08-06,839335,23445,1281,295,694,1334,3018,16823
24.153.22.136,2021-08-07,839335,2922,143,208,398,377,411,1385
24.153.22.137,2021-08-07,839335,2950,145,230,372,386,433,1384
24.153.22.144,2021-08-06,839335,2900,125,224,386,378,448,1339
24.153.22.153,2021-08-07,839335,2785,129,225,371,346,401,1313
24.153.22.154,2021-08-06,839335,2890,159,206,383,373,408,1361
24.153.23.8,2021-08-05,839335,2857,146,223,381,372,384,1351
24.153.23.9,2021-08-06,839335,2946,164,221,380,352,406,1423
24.153.23.15,2021-08-06,839335,3028,157,226,391,393,437,1424
24.153.23.25,2021-08-06,839335,2934,170,207,385,367,367,1438
24.153.23.26,2021-08-06,839335,2919,153,227,385,383,413,1358
24.158.63.8,2021-08-06,839335,8911,1503,528,1204,725,1103,3848
24.158.63.9,2021-08-05,839335,9141,1527,559,1208,796,1149,3902
24.158.63.28,2021-08-05,839335,3195,233,276,430,429,367,1460
24.158.63.29,2021-08-06,839335,3028,225,229,403,400,375,1396
24.158.96.10,2021-08-06,839335,10139,1201,850,1477,801,787,5023
24.158.96.130,2021-08-06,839335,20637,1396,1066,2786,2433,2291,10665
24.159.193.40,2021-08-06,839335,18332,1935,362,639,1116,1916,12364
24.176.125.6,2021-08-06,839335,3086,162,210,347,406,432,1529
24.177.176.38,2021-08-07,839335,19276,983,450,2094,2252,1862,11635
24.196.64.53,2021-08-06,839335,17121,1941,404,908,1138,1390,11340
24.197.96.15,2021-08-06,839335,3385,390,212,534,427,381,1441
24.197.96.16,2021-08-07,839335,7230,363,337,1186,1110,724,3510
24.197.97.132,2021-08-06,839335,10923,1766,824,1191,858,1136,5148
24.197.97.134,2021-08-05,839335,3459,354,264,459,444,410,1528
24.197.97.136,2021-08-07,839335,12033,2029,909,1340,1019,1242,5494
24.197.97.137,2021-08-06,839335,12071,2023,888,1324,1032,1270,5534
24.197.160.17,2021-08-05,839335,13730,1501,1386,1537,1318,1480,6508
24.197.160.18,2021-08-06,839335,15520,1834,1477,1678,1527,1689,7315
24.197.160.61,2021-08-05,839335,2545,123,215,323,344,320,1220
24.200.241.37,2021-08-06,839335,5727,1670,210,374,370,450,2653
24.200.243.189,2021-08-06,839335,5567,1802,222,316,353,423,2451
24.201.245.77,2021-08-07,839335,6081,1809,223,368,414,495,2772
24.205.1.14,2021-08-06,839335,11761,1196,849,1552,1465,1255,5444
24.205.224.36,2021-08-06,839335,13617,943,931,2476,2204,1083,5980
24.206.220.45,2021-08-04,839335,2625,144,215,344,328,334,1260
24.212.0.7,2021-08-05,839335,4616,200,279,713,592,553,2279
24.212.0.8,2021-08-05,839335,4629,189,267,674,608,544,2347
24.217.0.3,2021-08-06,839335,23401,1749,712,2444,3150,3335,12011
24.217.0.4,2021-08-06,839335,23847,1819,710,2591,3104,3457,12166
24.222.0.33,2021-08-02,839335,5125,489,207,401,456,475,3097
24.222.0.75,2021-08-05,839335,2604,137,194,324,319,329,1301
24.237.132.5,2021-08-05,839335,13937,297,323,726,869,1396,10326
24.239.198.30,2021-08-05,839335,2732,116,179,349,358,334,1396
24.244.65.8,2021-08-01,839335,3741,122,195,367,415,541,2101
24.244.65.9,2021-08-05,839335,2623,137,189,337,339,315,1306
24.244.175.2,2021-08-03,839335,25389,1157,4524,4007,2280,2101,11320
24.244.175.133,2021-08-04,839335,2675,145,219,330,323,338,1320
24.247.15.53,2021-08-07,839335,23147,1565,1028,2297,2472,1728,14057
24.247.24.53,2021-08-07,839335,21257,1187,588,1607,2489,1909,13477
35.8.2.45,2021-08-03,839335,60800,361,1222,5738,7466,8564,37449
35.9.20.10,2021-08-07,839335,21655,238,556,2024,3716,4009,11112
35.9.20.31,2021-08-05,839335,20063,250,543,2163,3765,3430,9912
