"Title1","Title2","IPV4","IPV6","DoH","DoT","Other"
"ibksturm DNS","PumpleX server","","","https://ibksturm.synology.me/dns-query 178.82.102.190 ","tls://ibksturm.synology.me 83.77.85.7 ","DNSCrypt, IPv4:2.dnscrypt-cert.ibksturm 83.77.85.7:8443 DNSCrypt, IPv6:2.dnscrypt-cert.ibksturm [2a02:1205:5055:de60:b26e:bfff:fe1d:e19b]:8443 "
"DNS Privacy","PumpleX server","","","","tls://getdnsapi.net 185.49.141.37 2a04:b900:0:100::37 Surfnet tls://dnsovertls.sinodun.com 145.100.185.15 2001:610:1:40ba:145:100:185:15 Surfnet tls://dnsovertls1.sinodun.com 145.100.185.16 2001:610:1:40ba:145:100:185:16 ",""
"DNS Privacy","PumpleX server","","","","UncensoredDNS tls://unicast.censurfridns.dk 89.233.43.71 2a01:3a0:53:53::0 UncensoredDNS tls://anycast.censurfridns.dk 91.239.100.100 2001:67c:28a4:: dkg tls://dns.cmrg.net 199.58.81.218 2001:470:1c:76d::53 tls://dns.larsdebruin.net 51.15.70.167 tls://dns-tls.bitwiseshift.net 81.187.221.24 2001:8b0:24:24::24 tls://ns1.dnsprivacy.at 94.130.110.185 2a01:4f8:c0c:3c03::2 tls://ns2.dnsprivacy.at 94.130.110.178 2a01:4f8:c0c:3bfc::2 tls://dns.bitgeek.in 139.59.51.46 tls://dns.neutopia.org 89.234.186.112 2a00:5884:8209::2 Go6Lab tls://privacydns.go6lab.si 2001:67c:27e4::35 tls://dot.securedns.eu 146.185.167.43 2a03:b0c0:0:1010::e9a:3001 ",""
"DNS Privacy","PumpleX server","","","","NIC Chile dnsotls.lab.nic.cl 200.1.123.46 2001:1398:1:0:200:1:123:46 OARC tls-dns-u.odvr.dns-oarc.net 184.105.193.78 2620:ff:c000:0:1::64:25 ",""
"PI-DNS","Central Europe DNS Server","88.198.91.187 ","2a01:4f8:1c0c:8233::1 ","https://doh.centraleu.pi-dns.com/dns-query ","tls://dot.centraleu.pi-dns.com ",""
"PI-DNS","North Europe DNS Server","95.216.181.228 ","2a01:4f9:c01f:4::abcd ","https://doh.northeu.pi-dns.com/dns-query ","tls://dot.northeu.pi-dns.com ",""
"PI-DNS","West USA DNS Server","45.67.219.208 ","2a04:bdc7:100:70::abcd ","https://doh.westus.pi-dns.com/dns-query ","tls://dot.westus.pi-dns.com ",""
"PI-DNS","East USA DNS Server","185.213.26.187 ","2a0d:5600:33:3::abcd ","https://doh.eastus.pi-dns.com/dns-query ","tls://dot.eastus.pi-dns.com ",""
"PI-DNS","East Australia DNS Server","45.63.30.163 ","2001:19f0:5801:b7c::1 ","https://doh.eastau.pi-dns.com/dns-query ","tls://dot.eastau.pi-dns.com ",""
"PI-DNS","East Asia DNS Server","66.42.33.135 ","2001:19f0:7001:225d::1 ","https://doh.eastas.pi-dns.com/dns-query ","tls://dot.eastas.pi-dns.com ",""
"PI-DNS","East Asia DNS Server","","","https://doh.pi-dns.com/dns-query ","",""
"Seby DNS","DNS Server 1","45.76.113.31 ","","","tls://dot.seby.io ","DNSCrypt, IPv4:2.dnscrypt-cert.dns.seby.io 45.76.113.31 "
"Seby DNS","DNS Server 2","45.76.113.31 139.99.222.72 ","","https://doh-2.seby.io/dns-query ","tls://dot.seby.io ","DNSCrypt, IPv4:2.dnscrypt-cert.dns.seby.io 139.99.222.72 "
"puntCAT DNS","DNS Server 2","109.69.8.51 ","2a00:1508:0:4::9 ","","",""
"DNSlify DNS","Default","185.235.81.1 185.235.81.2 ","2a0d:4d00:81::1 2a0d:4d00:81::2 ","https://doh.dnslify.com/dns-query ","tls://doh.dnslify.com ",""
"DNSlify DNS","Safe","185.235.81.3 185.235.81.4 ","2a0d:4d00:81::3 2a0d:4d00:81::4 ","","",""
"DNSlify DNS","Family","185.235.81.5 185.235.81.6 ","2a0d:4d00:81::5 2a0d:4d00:81::6 ","","",""
"NextDNS","Unfiltered","","","dns.nextdns.io ","tls://dns.nextdns.io ",""
"RethinkDNS","Unfiltered","","","https://basic.bravedns.com/ ","",""
"ControlD DNS","Unfiltered","76.76.2.0 ","","https://freedns.controld.com/p0 ","tls://p0.freedns.controld.com ",""
"ControlD DNS","Block malware","76.76.2.1 ","","https://freedns.controld.com/p1 ","tls://p1.freedns.controld.com ",""
"ControlD DNS","Block malware","76.76.2.2 ","","https://freedns.controld.com/p2 ","tls://p2.freedns.controld.com ",""
"ControlD DNS","Block malware","76.76.2.3 ","","https://freedns.controld.com/p3 ","tls://p3.freedns.controld.com ",""
"Mullvad","Non-filtering","","","https://doh.mullvad.net/dns-query ","tls://doh.mullvad.net ",""
"Mullvad","Ad blocking","","","https://adblock.doh.mullvad.net/dns-query ","tls://adblock.doh.mullvad.net ",""
"Mullvad","Arapurayil","","","https://dns.arapurayil.com/dns-query ","","DNSCrypt, IPv4:2.dnscrypt-cert.dns.arapurayil.com 3.7.156.128:8443 "
